ID,order_ID,materialId,materialDescription,expectedQty,unit
ee000001-0001-4001-c001-000000000001,a1b2c301-0001-4001-a001-000000000001,CNY-BAG-1001,Coach Tabby Shoulder Bag 26,1.000,EA
ee000002-0002-4002-c002-000000000001,a1b2c302-0002-4002-a002-000000000002,KSN-BAG-1001,Kate Spade Knott Medium Satchel,1.000,EA
ee000003-0003-4003-c003-000000000001,a1b2c303-0003-4003-a003-000000000003,CNY-BAG-1002,Coach Willow Tote,2.000,EA
ee000004-0004-4004-c004-000000000001,a1b2c304-0004-4004-a004-000000000004,KSN-SLG-2002,Kate Spade Ava Medium L-Zip Wallet,1.000,EA
ee000005-0005-4005-c005-000000000001,a1b2c305-0005-4005-a005-000000000005,CNY-FTW-3001,Coach CitySole Court Sneaker,1.000,EA
ee000006-0006-4006-c006-000000000001,a1b2c306-0006-4006-a006-000000000006,KSN-SLG-2001,Kate Spade Spencer Card Holder,2.000,EA
ee000007-0007-4007-c007-000000000001,a1b2c307-0007-4007-a007-000000000007,CNY-BAG-1004,Coach Teri Shoulder Bag,1.000,EA
ee000008-0008-4008-c008-000000000001,a1b2c308-0008-4008-a008-000000000008,KSN-BAG-1004,Kate Spade Carey Crossbody,1.000,EA
ee000009-0009-4009-c009-000000000001,a1b2c309-0009-4009-a009-000000000009,CNY-BAG-1001,Coach Tabby Shoulder Bag 26,2.000,EA
ee000010-0010-4010-c010-000000000001,a1b2c310-0010-4010-a010-000000000010,KSN-BAG-1002,Kate Spade Morgan Tote,2.000,EA
ee000011-0011-4011-c011-000000000001,a1b2c311-0011-4011-a011-000000000011,CNY-SLG-2003,Coach Accordion Zip Wallet,3.000,EA
ee000012-0012-4012-c012-000000000001,a1b2c312-0012-4012-a012-000000000012,KSN-SLG-2003,Kate Spade Madison Small Bifold Wallet,2.000,EA
ee000013-0013-4013-c013-000000000001,a1b2c313-0013-4013-a013-000000000013,CNY-BAG-1003,Coach Mini Rowan Crossbody,1.000,EA
ee000014-0014-4014-c014-000000000001,a1b2c314-0014-4014-a014-000000000014,KSN-ACC-4001,Kate Spade Spade Flower Reversible Tote,1.000,EA
